Name,Type,Breed,Age,Color,Shelter Name,Shelter City,Shelter State,Adoption Date
Steven,Dog,Labrador Retriever,14,Striped,Furry Companions Shelter,West Calvinmouth,Florida,05/18/24 06:39:31
Sharon,Dog,Beagle,9,Brown,Pawsitive Outcomes Rescue,Port Sandrahaven,Utah,05/18/24 06:51:01
Lisa,Cat,Ragdoll,5,White,Loving Paws Rescue,Smithfort,Nebraska,05/18/24 06:52:04
Zachary,Cat,Persian,15,White,Second Chance Animal Shelter,Lake Ashley,Ohio,05/18/24 06:54:21
Robert,Dog,German Shepherd,5,Blue,Wagging Tails Shelter,West Christine,Rhode Island,05/18/24 07:50:29
Carla,Cat,Ragdoll,6,Cream,Loving Paws Rescue,West Jameston,Maine,05/18/24 08:01:12
Shawn,Dog,Labrador Retriever,8,Brown,Barks and Meows Haven,Robertsonburgh,Michigan,05/18/24 08:52:42
Charles,Cat,Maine Coon,13,White,Barks and Meows Haven,Lake Paul,Hawaii,05/18/24 09:07:26
Nicole,Dog,Poodle,1,Golden,Pawsitive Outcomes Rescue,Durhamhaven,Florida,05/18/24 09:09:33
Joseph,Cat,Ragdoll,9,Golden,Four-Legged Friends Rescue,New Ellenmouth,New York,05/18/24 09:32:33
Mark,Dog,Poodle,7,Spotted,Loving Paws Rescue,Douglasfurt,North Dakota,05/18/24 09:53:55
Natalie,Dog,German Shepherd,8,Red,Fur-Ever Homes Shelter,New Kaitlinshire,Wisconsin,05/18/24 10:14:51
Emma,Cat,Maine Coon,9,Black,Fur-Ever Homes Shelter,West Isabelberg,Texas,05/18/24 10:30:28
Jacob,Dog,Boxer,10,Red,Four-Legged Friends Rescue,Lake Williamville,Washington,05/18/24 10:40:52
Derek,Cat,Oriental Shorthair,6,Blue,Pet Haven Rescue,Rodriguezberg,South Carolina,05/18/24 10:42:51
Jackson,Cat,Oriental Shorthair,3,Gray,Paws and Claws Shelter,South Jordan,North Carolina,05/18/24 10:51:08
Stanley,Dog,Yorkshire Terrier,15,Brown,Pet Haven Rescue,East Joshuamouth,Virginia,05/18/24 11:18:38
Anna,Dog,Yorkshire Terrier,3,Black,Happy Paws Rescue,Sueside,Massachusetts,05/18/24 11:19:44
Jessica,Cat,British Shorthair,9,White,Wagging Tails Shelter,Port Ashleyburgh,Maine,05/18/24 11:36:16
Michael,Cat,Siamese,3,Striped,Safe Haven Animal Shelter,Rickytown,Oregon,05/18/24 12:45:57
Amy,Dog,Labrador Retriever,3,Cream,Paws and Claws Shelter,New Joshuamouth,Rhode Island,05/18/24 12:51:56
Julian,Cat,Ragdoll,11,Brown,Paws and Claws Shelter,Reedland,New Jersey,05/18/24 13:18:03
Dana,Cat,Scottish Fold,14,Golden,Rescue Me Animal Shelter,Hannahberg,Colorado,05/18/24 14:06:34
Andre,Cat,Scottish Fold,1,Brown,Animal Haven Rescue,Port Paul,California,05/18/24 14:22:37
William,Cat,Scottish Fold,13,Gray,Four-Legged Friends Rescue,Parksland,New Jersey,05/18/24 14:35:34
Michele,Dog,Boxer,4,Golden,Barks and Meows Haven,Bobbytown,North Carolina,05/18/24 15:15:20
Paula,Dog,Labrador Retriever,14,Spotted,Four-Legged Friends Rescue,Vincentborough,Tennessee,05/18/24 15:47:54
Jacob,Cat,Persian,1,Golden,Furry Companions Shelter,West Chris,Nevada,05/18/24 15:50:50
John,Dog,Dachshund,6,Spotted,Furry Companions Shelter,South Laurafurt,New Hampshire,05/18/24 16:07:01
Kim,Dog,Golden Retriever,7,Blue,Furry Companions Shelter,Kellyview,Nebraska,05/18/24 16:33:53
Juan,Cat,Sphynx,15,White,Faithful Friends Animal Shelter,Kenttown,Oklahoma,05/18/24 16:40:28
George,Cat,Persian,15,Golden,Pet Haven Rescue,Lindseyland,Kansas,05/18/24 16:48:04
George,Cat,Scottish Fold,7,Golden,Furry Friends Haven,Williambury,Oklahoma,05/18/24 17:00:35
Carlos,Dog,Poodle,12,Golden,Whiskers and Tails Sanctuary,Lisaland,Kansas,05/18/24 17:01:15
Michael,Dog,Boxer,15,Gray,Four-Legged Friends Rescue,Port Katrina,Oklahoma,05/18/24 17:17:43
Andrew,Dog,Yorkshire Terrier,15,Red,Wagging Tails Shelter,North Alexandramouth,Texas,05/18/24 17:22:19
Bethany,Cat,Abyssinian,1,Red,Furry Companions Shelter,Chadview,Nebraska,05/18/24 18:03:41
Joseph,Cat,Oriental Shorthair,7,Striped,Cuddle Buddies Rescue,North Dominique,Florida,05/18/24 18:14:11
Rebekah,Cat,Birman,4,Blue,Furry Friends Haven,North Meganhaven,Rhode Island,05/18/24 18:24:47
Ann,Cat,Birman,7,Black,Rescue Me Animal Shelter,New Jamesmouth,Montana,05/18/24 19:13:12
Leroy,Cat,Sphynx,9,Black,Happy Paws Rescue,Bridgetburgh,Connecticut,05/18/24 19:23:53
Zachary,Dog,Golden Retriever,3,Red,Furry Friends Haven,Bushberg,Kansas,05/18/24 19:24:43
Jennifer,Dog,Rottweiler,9,White,Rescue Me Animal Shelter,Lake Nathan,Alaska,05/18/24 19:51:17
Justin,Dog,Boxer,1,Black,Cuddle Buddies Rescue,Dianeton,Indiana,05/18/24 20:07:11
Darren,Dog,Boxer,13,Spotted,Paws and Claws Shelter,Ashleybury,Hawaii,05/18/24 20:19:26
Tamara,Cat,Oriental Shorthair,1,Spotted,Pet Haven Rescue,Port Andrew,Louisiana,05/18/24 20:36:19
Misty,Cat,Maine Coon,4,Red,Four-Legged Friends Rescue,West Ryan,Florida,05/18/24 20:37:29
Juan,Cat,Oriental Shorthair,15,Gray,Second Chance Animal Shelter,Justinburgh,Illinois,05/18/24 20:38:11
Kristen,Dog,Golden Retriever,12,Brown,Paws and Claws Shelter,North Heatherville,New Mexico,05/18/24 20:41:28
Jennifer,Dog,Yorkshire Terrier,2,Blue,Hopeful Hearts Animal Shelter,Hooperfurt,Idaho,05/18/24 21:12:26
Cesar,Dog,Beagle,2,Golden,Whiskers and Tails Sanctuary,Natashaton,Georgia,05/18/24 21:18:05
Michael,Cat,Oriental Shorthair,7,Spotted,Hopeful Hearts Animal Shelter,Port Thomasmouth,Georgia,05/18/24 21:25:18
Joy,Dog,Boxer,5,Gray,Furry Friends Haven,Turnerside,Washington,05/18/24 21:25:41
Tyler,Cat,Ragdoll,3,Red,Pawsitive Outcomes Rescue,North Brianville,Tennessee,05/18/24 21:39:49
Melissa,Cat,British Shorthair,9,Cream,Wagging Tails Shelter,West Jonathon,Delaware,05/18/24 21:41:57
Angel,Cat,Oriental Shorthair,12,Blue,Hopeful Hearts Animal Shelter,New Kevin,Arizona,05/18/24 21:49:54
Joan,Dog,Yorkshire Terrier,3,Black,Second Chance Animal Shelter,East Juliastad,New York,05/18/24 22:04:08
Nicholas,Cat,Oriental Shorthair,3,Gray,Loving Paws Rescue,West Troy,Minnesota,05/18/24 22:06:30
Brad,Cat,British Shorthair,7,Blue,Barks and Meows Haven,Andrewburgh,Hawaii,05/18/24 22:24:46
Kathleen,Cat,Sphynx,12,Brown,Furever Friends Sanctuary,New Raymouth,Kansas,05/18/24 22:29:06
Brian,Cat,Sphynx,15,White,Fur-Ever Homes Shelter,Port Emilymouth,Georgia,05/18/24 22:31:41
James,Dog,Poodle,3,Striped,Happy Paws Rescue,Mackenziehaven,Tennessee,05/18/24 22:51:50
Philip,Cat,Persian,3,White,Faithful Friends Animal Shelter,New Cliffordbury,Oregon,05/18/24 23:49:12
Mario,Cat,Persian,7,Striped,Happy Paws Rescue,Port Kimberlytown,New Hampshire,05/18/24 23:49:15
Timothy,Dog,Beagle,10,Black,Wagging Tails Shelter,New Jason,South Carolina,05/19/24 00:33:04
Paul,Cat,Abyssinian,7,Spotted,Rescue Me Animal Shelter,Port Ashley,Alaska,05/19/24 01:19:24
Brandon,Cat,Scottish Fold,4,Cream,Faithful Friends Animal Shelter,North Brandon,Alabama,05/19/24 01:24:39
Christian,Cat,Birman,15,White,Pet Haven Rescue,Mcmahonside,Hawaii,05/19/24 01:27:41
Linda,Dog,Bulldog,5,Gray,Happy Paws Rescue,Shawnbury,North Dakota,05/19/24 01:45:26
Henry,Cat,Oriental Shorthair,9,Black,Cuddle Buddies Rescue,Figueroafort,West Virginia,05/19/24 02:29:24
Kyle,Dog,German Shepherd,7,Black,Rescue Me Animal Shelter,Troyshire,Mississippi,05/19/24 02:31:35
Joseph,Cat,Siamese,11,Spotted,Animal Haven Rescue,Gutierrezhaven,Nebraska,05/19/24 02:58:40
Rachel,Cat,Siamese,11,Black,Animal Haven Rescue,Foxside,Minnesota,05/19/24 03:01:08
Michael,Cat,Birman,5,Brown,Furry Friends Haven,Padillahaven,Mississippi,05/19/24 03:03:18
Nathan,Dog,Yorkshire Terrier,13,Red,Cuddle Buddies Rescue,Nashmouth,Oregon,05/19/24 03:20:10
Lauren,Cat,Persian,1,Gray,Four-Legged Friends Rescue,Zhangmouth,Ohio,05/19/24 03:27:13
Kellie,Dog,Beagle,6,White,Wagging Tails Shelter,West Elizabethborough,Florida,05/19/24 03:43:30
John,Dog,German Shepherd,3,Red,Furever Friends Sanctuary,Tammychester,West Virginia,05/19/24 03:52:37
Angela,Cat,Oriental Shorthair,9,Red,Faithful Friends Animal Shelter,Port Michellechester,Colorado,05/19/24 03:56:55
Charles,Dog,Golden Retriever,8,White,Rescue Me Animal Shelter,South Mark,Colorado,05/19/24 04:18:35
Robert,Cat,Maine Coon,4,Cream,Animal Haven Rescue,Reynoldsshire,Minnesota,05/19/24 05:35:02
Barbara,Dog,Yorkshire Terrier,13,Brown,Faithful Friends Animal Shelter,Palmerborough,Wyoming,05/19/24 05:37:53
Chelsea,Dog,Poodle,2,Blue,Wagging Tails Shelter,Veronicaberg,Washington,05/19/24 05:44:03
Sarah,Cat,Scottish Fold,1,White,Barks and Meows Haven,East Erictown,North Dakota,05/19/24 07:11:56
James,Dog,Beagle,12,Spotted,Barks and Meows Haven,Heatherborough,Georgia,05/19/24 08:03:27
Jessica,Cat,Scottish Fold,8,Black,Furry Friends Haven,Lisahaven,Hawaii,05/19/24 08:14:11
Brian,Dog,German Shepherd,11,Gray,Faithful Friends Animal Shelter,East Victorton,Michigan,05/19/24 08:16:18
Sharon,Cat,Maine Coon,9,Golden,Furry Friends Haven,Donnaview,Rhode Island,05/19/24 08:21:03
Karla,Dog,Golden Retriever,7,Spotted,Loving Paws Rescue,Angelatown,Kentucky,05/19/24 08:22:25
Leah,Cat,Ragdoll,6,Black,Loving Paws Rescue,South Duane,Louisiana,05/19/24 09:24:44
Shawn,Dog,Boxer,13,Gray,Whiskers and Tails Sanctuary,North Gregorytown,Michigan,05/19/24 09:42:36
Derek,Cat,Siamese,12,Spotted,Furry Companions Shelter,Amystad,Mississippi,05/19/24 09:51:04
Sarah,Dog,Poodle,1,Red,Animal Haven Rescue,Pennytown,Washington,05/19/24 10:27:15
Andrew,Cat,Ragdoll,8,White,Whiskers and Tails Sanctuary,New Megan,Idaho,05/19/24 10:37:01
Brent,Dog,Golden Retriever,4,Striped,Second Chance Animal Shelter,Rodriguezberg,Rhode Island,05/19/24 11:17:01
James,Cat,Sphynx,9,White,Loving Paws Rescue,South Albert,South Carolina,05/19/24 11:27:40
Holly,Cat,Maine Coon,14,Cream,Faithful Friends Animal Shelter,Thompsonbury,Rhode Island,05/19/24 11:32:12
Nichole,Dog,Bulldog,4,Blue,Rescue Me Animal Shelter,Santiagoville,Maryland,05/19/24 12:03:35
Linda,Cat,Birman,5,Blue,Barks and Meows Haven,Williamview,Idaho,05/19/24 12:42:25
Ariana,Dog,Yorkshire Terrier,10,Gray,Barks and Meows Haven,Port Sarahmouth,Wisconsin,05/19/24 13:04:39
Stephanie,Dog,Boxer,10,Brown,Furry Friends Haven,Greenmouth,Arkansas,05/19/24 13:08:50
Michael,Dog,Poodle,6,Striped,Cuddle Buddies Rescue,Lake Kristinastad,New Hampshire,05/19/24 13:20:31
Chelsea,Dog,Boxer,6,White,Furry Friends Haven,Lake Steven,Hawaii,05/19/24 14:55:08
Jennifer,Dog,German Shepherd,3,Blue,Animal Haven Rescue,Hardinhaven,Alaska,05/19/24 15:19:20
Shannon,Cat,Abyssinian,6,Golden,Happy Paws Rescue,Stuartstad,Missouri,05/19/24 15:22:03
Donald,Dog,Bulldog,6,Brown,Faithful Friends Animal Shelter,Turnerchester,Nebraska,05/19/24 15:25:20
Penny,Cat,Siamese,13,Gray,Hopeful Hearts Animal Shelter,Rollinsberg,West Virginia,05/19/24 15:38:17
Rebecca,Dog,Golden Retriever,14,Brown,Pawsitive Outcomes Rescue,Lindseyport,Nebraska,05/19/24 15:42:22
Richard,Dog,Dachshund,3,Brown,Fur-Ever Homes Shelter,Brownbury,Virginia,05/19/24 15:59:45
Erica,Cat,Abyssinian,10,Spotted,Animal Haven Rescue,South Susan,Idaho,05/19/24 16:13:27
Alexander,Cat,Scottish Fold,2,Cream,Animal Haven Rescue,Laurenland,Idaho,05/19/24 16:35:39
James,Cat,Persian,2,Blue,Wagging Tails Shelter,East Danielle,Illinois,05/19/24 16:35:57
Nathaniel,Cat,Sphynx,10,Striped,Wagging Tails Shelter,Port Lauren,Kansas,05/19/24 16:52:13
Michelle,Cat,Sphynx,12,Black,Furry Friends Haven,Andreachester,New Hampshire,05/19/24 16:56:37
Joshua,Dog,Dachshund,12,Cream,Cuddle Buddies Rescue,Port Vanessa,Texas,05/19/24 17:02:59
Haley,Cat,Siamese,6,White,Barks and Meows Haven,West Gregory,Tennessee,05/19/24 17:10:23
Darrell,Cat,Maine Coon,14,Blue,Furry Friends Haven,South Dawnberg,South Dakota,05/19/24 17:22:42
Michael,Cat,Ragdoll,4,Golden,Loving Paws Rescue,Williamsborough,Massachusetts,05/19/24 18:35:43
Courtney,Dog,German Shepherd,15,Blue,Loving Paws Rescue,Arnoldmouth,Georgia,05/19/24 19:32:42
Alicia,Cat,Ragdoll,15,Spotted,Furry Friends Haven,East Robert,South Carolina,05/19/24 19:48:34
Michael,Cat,Siamese,12,Red,Happy Paws Rescue,Stevenport,Texas,05/19/24 19:52:22
Ruth,Dog,Rottweiler,15,Blue,Furever Friends Sanctuary,Smithberg,Pennsylvania,05/19/24 20:23:51
Brenda,Cat,Scottish Fold,10,Golden,Barks and Meows Haven,Port Nancyborough,Massachusetts,05/19/24 20:34:10
Michael,Cat,Persian,12,Golden,Happy Paws Rescue,Lynnburgh,Tennessee,05/19/24 21:24:57
Mary,Dog,Rottweiler,6,Brown,Paws and Claws Shelter,Craigberg,Arizona,05/19/24 21:54:28
Roger,Dog,Boxer,8,Golden,Rescue Me Animal Shelter,Hopkinstown,Wisconsin,05/19/24 22:17:59
Anthony,Cat,Birman,15,Brown,Hopeful Hearts Animal Shelter,Blakemouth,South Carolina,05/19/24 22:45:56
Dominique,Cat,Siamese,4,Gray,Cuddle Buddies Rescue,Nicholsonborough,Iowa,05/19/24 22:53:14
Kevin,Cat,Ragdoll,14,Golden,Paws and Claws Shelter,South Ryan,Florida,05/19/24 22:55:05
Ruth,Dog,Labrador Retriever,4,Cream,Second Chance Animal Shelter,Lindafort,Tennessee,05/19/24 23:02:46
Sara,Cat,Oriental Shorthair,14,Golden,Faithful Friends Animal Shelter,North Rhonda,New Jersey,05/19/24 23:09:35
Elizabeth,Dog,Boxer,11,Striped,Faithful Friends Animal Shelter,Greenview,Maine,05/19/24 23:14:21
Denise,Dog,Poodle,12,Cream,Paws and Claws Shelter,West Barbara,Arkansas,05/19/24 23:16:29
Brian,Cat,British Shorthair,6,Red,Furry Friends Haven,North Jonathanbury,Georgia,05/19/24 23:25:08
Victoria,Dog,Labrador Retriever,2,White,Second Chance Animal Shelter,West Mary,California,05/19/24 23:43:11
Robert,Dog,Bulldog,6,Cream,Wagging Tails Shelter,North Claire,Kentucky,05/20/24 00:07:13
William,Cat,Sphynx,14,Golden,Furry Friends Haven,South Arthurside,Wisconsin,05/20/24 00:21:53
Eric,Cat,Persian,13,Spotted,Happy Paws Rescue,Lake Lisaland,Washington,05/20/24 00:28:41
Joshua,Dog,Golden Retriever,6,Brown,Four-Legged Friends Rescue,South Aaronmouth,Arizona,05/20/24 01:34:02
Katherine,Dog,Dachshund,13,Cream,Faithful Friends Animal Shelter,East Brianna,Massachusetts,05/20/24 01:59:49
Frank,Cat,Birman,6,Cream,Wagging Tails Shelter,Ericland,Virginia,05/20/24 02:11:09
Mark,Dog,Labrador Retriever,8,White,Whiskers and Tails Sanctuary,South Lauraview,North Carolina,05/20/24 02:21:31
Mark,Dog,Beagle,14,Red,Hopeful Hearts Animal Shelter,North Amy,Nebraska,05/20/24 02:43:18
Mark,Dog,Rottweiler,4,Gray,Cuddle Buddies Rescue,Hahnshire,California,05/20/24 03:17:07
Jonathan,Dog,Golden Retriever,4,Brown,Faithful Friends Animal Shelter,East Kaylahaven,Rhode Island,05/20/24 03:23:02
Alicia,Dog,Boxer,8,Black,Loving Paws Rescue,Jamesmouth,Idaho,05/20/24 03:42:15
Andrea,Cat,Birman,1,Red,Pawsitive Outcomes Rescue,North Cesartown,New Hampshire,05/20/24 03:42:18
Heather,Cat,Oriental Shorthair,4,Red,Pawsitive Outcomes Rescue,New Joseph,South Dakota,05/20/24 03:42:18
Beth,Dog,German Shepherd,15,White,Faithful Friends Animal Shelter,Barnesmouth,Indiana,05/20/24 03:52:30
Madeline,Cat,Ragdoll,3,Cream,Loving Paws Rescue,New Bradside,North Dakota,05/20/24 04:22:17
Sara,Dog,Boxer,10,Brown,Pet Haven Rescue,Rangelfurt,North Carolina,05/20/24 04:37:34
Ashley,Dog,Golden Retriever,5,Golden,Furry Companions Shelter,East Yvonne,Maine,05/20/24 05:04:01
Wendy,Cat,Persian,5,Black,Hopeful Hearts Animal Shelter,Juliebury,Minnesota,05/20/24 05:15:02
Kara,Cat,Birman,6,Blue,Faithful Friends Animal Shelter,South Davidmouth,Louisiana,05/20/24 05:36:44
Nicolas,Dog,Boxer,12,Red,Whiskers and Tails Sanctuary,New Anthony,Massachusetts,05/20/24 05:42:17
Robert,Cat,Oriental Shorthair,11,Black,Four-Legged Friends Rescue,Reginaland,New York,05/20/24 06:14:30
Samantha,Cat,Abyssinian,8,Spotted,Safe Haven Animal Shelter,West Victor,Virginia,05/20/24 06:21:08
Edwin,Dog,Boxer,6,Striped,Loving Paws Rescue,Port Jacqueline,North Dakota,05/20/24 07:38:19
David,Cat,Birman,11,Red,Rescue Me Animal Shelter,Youngton,Idaho,05/20/24 07:50:14
Shelby,Cat,Birman,5,Striped,Furry Friends Haven,Fitzgeraldborough,Nebraska,05/20/24 07:56:49
Dana,Dog,Rottweiler,4,White,Whiskers and Tails Sanctuary,North Danielshire,Kentucky,05/20/24 08:00:57
David,Cat,British Shorthair,12,Striped,Furever Friends Sanctuary,Brianchester,North Dakota,05/20/24 08:16:52
Adam,Cat,Oriental Shorthair,11,Blue,Loving Paws Rescue,Deborahville,Pennsylvania,05/20/24 08:46:17
Tyler,Dog,Bulldog,13,Cream,Barks and Meows Haven,Andrewmouth,Nevada,05/20/24 08:48:53
Kimberly,Dog,Labrador Retriever,5,Blue,Rescue Me Animal Shelter,Nelsonville,Rhode Island,05/20/24 08:57:55
Vanessa,Cat,Ragdoll,8,Cream,Cuddle Buddies Rescue,New Anna,Texas,05/20/24 10:20:26
Peter,Cat,Sphynx,3,Spotted,Pet Haven Rescue,East Heidiland,Maine,05/20/24 10:52:42
Robert,Dog,Yorkshire Terrier,8,Striped,Furever Friends Sanctuary,New Michelle,Vermont,05/20/24 10:52:43
Justin,Cat,Siamese,11,White,Pawsitive Outcomes Rescue,West Andrew,Kansas,05/20/24 11:10:14
Sarah,Dog,Yorkshire Terrier,2,Gray,Faithful Friends Animal Shelter,Brandonfurt,Maine,05/20/24 11:22:47
William,Dog,German Shepherd,14,Red,Pet Haven Rescue,North Erin,Iowa,05/20/24 12:00:33
Danny,Dog,German Shepherd,11,Cream,Happy Paws Rescue,West Richard,Oklahoma,05/20/24 12:19:53
Rebecca,Dog,Dachshund,8,Spotted,Paws and Claws Shelter,Lake Emmafurt,New Mexico,05/20/24 12:22:18
Ricardo,Cat,Sphynx,5,Golden,Second Chance Animal Shelter,North Morganville,Missouri,05/20/24 12:52:07
Kelsey,Dog,Yorkshire Terrier,9,White,Wagging Tails Shelter,Anthonyburgh,Arkansas,05/20/24 13:20:18
Franklin,Dog,Rottweiler,10,Brown,Pawsitive Outcomes Rescue,West Richard,Kentucky,05/20/24 13:23:46
Paul,Dog,Dachshund,4,Blue,Whiskers and Tails Sanctuary,West Alyssa,Arizona,05/20/24 13:41:47
Marilyn,Dog,Poodle,10,Striped,Furever Friends Sanctuary,Lake Rebekahfort,North Carolina,05/20/24 13:54:39
Warren,Dog,Bulldog,8,Cream,Safe Haven Animal Shelter,East Davidfort,Maryland,05/20/24 14:03:18
Jason,Dog,German Shepherd,3,Blue,Hopeful Hearts Animal Shelter,Stevechester,Alabama,05/20/24 14:08:40
Eric,Dog,Poodle,11,Spotted,Hopeful Hearts Animal Shelter,West Kathy,New Hampshire,05/20/24 14:50:42
Emily,Dog,Beagle,2,Red,Barks and Meows Haven,Hunterbury,Indiana,05/20/24 15:34:25
Kevin,Dog,Labrador Retriever,4,White,Cuddle Buddies Rescue,Leachburgh,New Jersey,05/20/24 15:42:46
Wendy,Cat,Birman,1,Striped,Faithful Friends Animal Shelter,Millerbury,Oregon,05/20/24 15:43:03
Danny,Dog,Labrador Retriever,2,Blue,Paws and Claws Shelter,New Michelle,Colorado,05/20/24 15:44:33
Colin,Cat,Persian,2,Striped,Furry Friends Haven,Sandovalberg,Alaska,05/20/24 15:46:33
Angela,Dog,Golden Retriever,2,Brown,Loving Paws Rescue,New Rebeccaview,Indiana,05/20/24 15:55:38
Christina,Dog,Poodle,3,Blue,Pet Haven Rescue,New Briantown,Virginia,05/20/24 16:02:29
James,Cat,Siamese,14,Striped,Whiskers and Tails Sanctuary,Lake Nicholas,Massachusetts,05/20/24 16:40:48
Brenda,Dog,Poodle,3,Cream,Four-Legged Friends Rescue,Smithstad,South Carolina,05/20/24 16:48:31
Frank,Dog,Labrador Retriever,14,Spotted,Faithful Friends Animal Shelter,Lake Briannaberg,Connecticut,05/20/24 17:01:11
Kenneth,Cat,Scottish Fold,1,Striped,Four-Legged Friends Rescue,North Kyleville,New Hampshire,05/20/24 17:01:52
Benjamin,Dog,Bulldog,11,Red,Whiskers and Tails Sanctuary,Tylerfurt,Georgia,05/20/24 17:14:14
Melissa,Cat,Oriental Shorthair,8,Black,Pawsitive Outcomes Rescue,North Christopher,Rhode Island,05/20/24 17:31:02
Scott,Dog,Rottweiler,4,Red,Pet Haven Rescue,North Sarah,Maryland,05/20/24 18:01:20
Michele,Cat,Sphynx,4,Spotted,Pet Haven Rescue,Port Richard,Illinois,05/20/24 18:22:05
Amanda,Cat,Siamese,13,White,Hopeful Hearts Animal Shelter,North Richardbury,Oregon,05/20/24 19:24:53
David,Cat,Sphynx,10,Cream,Wagging Tails Shelter,West James,New Mexico,05/20/24 19:28:51
Robert,Dog,Poodle,1,Black,Rescue Me Animal Shelter,Kennedyville,Arizona,05/20/24 19:34:11
Jesus,Cat,Persian,14,Spotted,Four-Legged Friends Rescue,Davilatown,Illinois,05/20/24 20:57:51
William,Cat,Ragdoll,4,Golden,Safe Haven Animal Shelter,Joelbury,Arkansas,05/20/24 21:24:24
Shawn,Cat,Birman,7,Brown,Happy Paws Rescue,East Heathershire,Rhode Island,05/20/24 21:27:54
Raven,Dog,Dachshund,1,White,Second Chance Animal Shelter,Muellerview,South Dakota,05/20/24 22:01:05
Veronica,Cat,Persian,13,White,Four-Legged Friends Rescue,Cynthiaview,Minnesota,05/20/24 22:44:02
Laura,Cat,Ragdoll,2,White,Safe Haven Animal Shelter,Cardenasmouth,Pennsylvania,05/20/24 22:53:11
Tiffany,Dog,Beagle,7,Blue,Barks and Meows Haven,West Scottton,Utah,05/20/24 22:58:27
Anthony,Dog,German Shepherd,7,White,Paws and Claws Shelter,West Jill,Pennsylvania,05/20/24 22:58:47
Phyllis,Dog,Bulldog,10,Spotted,Animal Haven Rescue,North Jamie,Nevada,05/20/24 23:15:19
Jennifer,Dog,Boxer,4,Striped,Pawsitive Outcomes Rescue,Thompsonfort,Louisiana,05/20/24 23:17:49
Joseph,Dog,Dachshund,10,Blue,Rescue Me Animal Shelter,West James,Indiana,05/20/24 23:31:53
Daniel,Dog,Dachshund,12,Red,Faithful Friends Animal Shelter,Bentleyfort,Vermont,05/20/24 23:37:02
Ronald,Cat,Sphynx,3,Blue,Happy Paws Rescue,New Garyhaven,Pennsylvania,05/21/24 00:04:28
Matthew,Cat,Birman,9,Blue,Pet Haven Rescue,Davidport,Utah,05/21/24 00:15:24
Judith,Cat,Birman,15,Cream,Happy Paws Rescue,Lake Daniel,Oregon,05/21/24 00:43:45
Michael,Dog,Golden Retriever,8,Golden,Hopeful Hearts Animal Shelter,Johnsonburgh,Illinois,05/21/24 00:56:32
Jeffery,Dog,Boxer,12,Red,Furry Friends Haven,Lake Benjaminbury,Maryland,05/21/24 01:11:17
Linda,Dog,Golden Retriever,5,Blue,Rescue Me Animal Shelter,Debraborough,Nebraska,05/21/24 01:13:27
Brittney,Cat,Oriental Shorthair,13,Golden,Animal Haven Rescue,Lake Kelseymouth,Mississippi,05/21/24 01:30:18
David,Cat,British Shorthair,4,Red,Fur-Ever Homes Shelter,South Jasonfurt,Mississippi,05/21/24 02:01:46
Linda,Dog,Rottweiler,5,Golden,Rescue Me Animal Shelter,Alexanderview,Rhode Island,05/21/24 02:08:32
Eric,Dog,Rottweiler,15,Red,Furry Companions Shelter,Hollandville,Idaho,05/21/24 02:21:56
Emily,Cat,Persian,15,Blue,Faithful Friends Animal Shelter,Michaelstad,Rhode Island,05/21/24 02:43:48
Sergio,Dog,Boxer,1,Brown,Pawsitive Outcomes Rescue,Williamberg,Missouri,05/21/24 03:00:16
Edgar,Cat,Ragdoll,5,White,Animal Haven Rescue,Taylorfurt,Colorado,05/21/24 03:15:59
Randall,Cat,Scottish Fold,6,Blue,Four-Legged Friends Rescue,Warrenview,Utah,05/21/24 03:45:34
Jennifer,Dog,Bulldog,7,Spotted,Pawsitive Outcomes Rescue,North Candiceburgh,Wyoming,05/21/24 04:35:47
Michael,Cat,Abyssinian,1,White,Second Chance Animal Shelter,Tinaton,Nebraska,05/21/24 04:37:43
Susan,Cat,Maine Coon,12,Striped,Faithful Friends Animal Shelter,Nancyview,Massachusetts,05/21/24 04:39:01
Sean,Cat,Siamese,15,Gray,Paws and Claws Shelter,Dennisport,Colorado,05/21/24 04:41:23
Edward,Dog,Yorkshire Terrier,12,Cream,Animal Haven Rescue,Cassandrahaven,Virginia,05/21/24 04:48:15
Patrick,Dog,Dachshund,13,Striped,Furever Friends Sanctuary,Lopezhaven,Tennessee,05/21/24 04:50:41
Crystal,Cat,Siamese,9,Red,Four-Legged Friends Rescue,South Valerieville,Rhode Island,05/21/24 05:14:42
Samantha,Cat,Ragdoll,3,Gray,Animal Haven Rescue,Orozcohaven,Alaska,05/21/24 05:19:41
Karen,Cat,Persian,5,Golden,Faithful Friends Animal Shelter,New Amyfurt,California,05/21/24 05:30:18
Cody,Dog,Labrador Retriever,6,Blue,Barks and Meows Haven,Webbfurt,Maine,05/21/24 05:35:19
Nicholas,Cat,Ragdoll,10,Brown,Second Chance Animal Shelter,Wigginsfort,New Mexico,05/21/24 06:16:35
Valerie,Dog,Golden Retriever,13,Brown,Faithful Friends Animal Shelter,East Brandiville,Michigan,05/21/24 06:39:00
Jacqueline,Dog,Poodle,6,Cream,Wagging Tails Shelter,West Christopher,Wyoming,05/21/24 06:49:13
Victoria,Cat,Birman,9,Blue,Furever Friends Sanctuary,New Julieside,Virginia,05/21/24 07:12:48
